"","year","cow","wbcode","riots","antigov","country_name.x","country_id","country_abb.x","party_banVD","oilHM","popHM","polity2","ccode","country_name.y","ccodealp","code_wb","dd_cga","ht_region","country_name","country_abb.y","banethnic","banrelig","bansys","banall","govstruct","elecSystem","partybanIEP","elecleg","elecexec","unitary","PRsystem","NewEthFrac","partybanUni"
"254",1961,135,"PER",3,0,"Peru",30,"PER",0,0.375,10217569,5,604,"Peru","PER",604,1,2,"Peru","PER","0","0","0","0","1","3",0,"1","1",1,1,0.636922160326232,0
"255",1961,140,"BRA",2,1,"Brazil",19,"BRA",1,0.3,7.5e+07,5,76,"Brazil","BRA",76,1,2,"Brazil","BRA","0","0","0","0","3","4",0,"1","1",0,1,0.569910908903639,0
"256",1961,145,"BOL",3,0,"Bolivia",25,"BOL",0,0.095,3426358,-3,68,"Bolivia","BOL",68,0,2,"Bolivia","BOL","0","0","0","0","1","1",0,"1","1",1,0,0.613487464287526,0
"257",1961,150,"PRY",1,0,"Paraguay",189,"PRY",1,0,1885876,-9,600,"Paraguay","PRY",600,0,2,"Paraguay","PAR","0","0","0","0","1","3",1,"1","1",1,1,0.106558558256256,1
"258",1961,155,"CHL",1,0,"Chile",72,"CHL",0,0.11,7839583,5,152,"Chile","CHL",152,1,2,"Chile","CHL","0","0","0","0","1","3",0,"1","1",1,1,0.512622011847595,0
"259",1961,160,"ARG",1,0,"Argentina",37,"ARG",1,2.2,20950623,-1,32,"Argentina","ARG",32,1,2,"Argentina","ARG","0","0","1","0","3","3",1,"1","1",0,1,0.067126188909764,1
"260",1961,165,"URY",3,0,"Uruguay",102,"URY",0,0,2570786,8,858,"Uruguay","URY",858,1,2,"Uruguay","URU","0","0","0","0","3","3",0,"1","1",0,1,0.20832553136735,0
"261",1961,200,"GBR",2,2,"United Kingdom",101,"GBR",0,0.005,52807000,10,826,"United Kingdom","GBR",826,1,5,"United Kingdom","UKG","0","0","0","0","1","1",0,"1","0",1,0,0.309728827655412,0
"262",1961,205,"IRL",0,0,"Ireland",81,"IRL",0,0,2818000,10,372,"Ireland","IRL",372,1,5,"Ireland","IRE","0","0","0","0","1","3",0,"1","1",1,1,0.06887070609528,0
"263",1961,210,"NLD",0,0,"Netherlands",91,"NLD",0,0.25,11639000,10,528,"Netherlands","NLD",528,1,5,"Netherlands","NTH","0","0","0","0","3","3",0,"1","0",0,1,0.0135837701001069,0
"264",1961,211,"BEL",3,0,"Belgium",148,"BEL",0,0,9166000,10,56,"Belgium","BEL",56,1,5,"Belgium","BEL","0","0","0","0","1","3",0,"1","0",1,1,0.51653310382138,0
"266",1961,220,"FRA",3,1,"France",76,"FRA",0,0.225,46163000,5,250,"France (1963-)","FRA",250,NA,NA,"France","FRN","0","0","0","0","1","2",0,"1","1",1,0,NA,0
"267",1961,225,"CHE",0,0,"Switzerland",6,"CHE",0,0,5434000,10,756,"Switzerland","CHE",756,1,5,"Switzerland","SWZ","0","0","0","0","2","2",0,"1","0",0,0,0.23191016338633,0
"269",1961,235,"PRT",0,0,"Portugal",21,"PRT",1,0,8937600,-9,620,"Portugal","PRT",620,0,5,"Portugal","POR","0","0","0","0","1","1",0,"1","0",1,0,0.00155061273435264,0
"271",1961,305,"AUT",0,1,"Austria",144,"AUT",0,0.275,7087000,10,40,"Austria","AUT",40,1,5,"Austria","AUS","0","0","0","0","3","3",0,"1","1",0,1,0.0614126605759914,0
